question_text;answer_text;poryadkovyi_numbar
Можно ли приступать к выполнению работ, если удостоверение у работника отсутствует? (п. 6.5);При условии, где имеется возможность утери и (или) порчи удостоверения;3
Какая мера ответственности предусмотрена при выявлении случая преднамеренного допуска к работе работника без удостоверения? (п. 6.10);Дисциплинарная;3
Какая мера ответственности предусмотрена при выявлении случая порчи или утери удостоверения с талонами предупреждения, или талона (талонов) предупреждения к работнику, допустившему такую порчу или утерю? (п. 6.11);Материальная;1
Кто не имеет право изымать талоны у работников структурных подразделений филиала? (п. 7.3);Представитель газоспасательной службы Общества;2
Кто имеет право изъятия талона у работников структурных подразделений филиала? (п. 7.3);Уполномоченные (доверенные) лица по охране труда профсоюзной организации (в пределах компетенции);3
Является ли обязательным требование к работнику о предоставлении объяснительной при изъятии талона? (п. 7.9);Да;2
Может ли работник обжаловать решение об изъятии талона? (п. 7.15);Да;2
За какое нарушение изымается один талон предупреждения? (п. 8);Производство работ при несоблюдении без уважительной причинысроков очередной проверки знаний по охране труда и промышленнойбезопасности или проведения инструктажа на рабочем месте;3
За какое нарушение изымается один талон предупреждения? (п. 8);"Производство работ без спецодежды, спецобуви и других средств индивидуальной защиты и приспособлений, необходимых для выполнения данного вида работ; использование неисправных обязательных средств индивидуальной защиты, специальной одежды и специальной обуви";3
За какое нарушение изымается один талон предупреждения? (п. 8);"Производство работ без спецодежды, спецобуви и других средствиндивидуальной защиты и приспособлений, необходимых для выполненияданного вида работ; использование неисправных обязательных средствиндивидуальной защиты, специальной одежды и специальной обуви";3
За какое нарушение изымается одновременно два талона предупреждения? (п. 8);Самовольное возобновление работ, приостановленныхвышестоящими руководителями или контролирующими органами(комиссиями);3
За какое нарушение изымается одновременно два талона предупреждения? (п. 8);Невыполнение мероприятий по обеспечению безопасности работ по наряду-допуску;3
За какое нарушение изымается одновременно два талона предупреждения? (п. 8);Выполнение работы «под грузом», в том числе под поднятымкузовом самосвала, отвалом бульдозера без применения дополнительныхфиксирующих приспособлений;3
За какое нарушение изымается одновременно три талона предупреждения? (п. 8);Нарушения, которые привели к наступлению тяжких последствий (несчастный случай на производстве, авария);3
За какое нарушение изымается один талон предупреждения? (п. 8);В случае однократного нарушения требований безопасности по охране труда,промышленной и пожарной безопасности, не повлекшего за собой тяжкиепоследствия (несчастный случай на производстве, авария, катастрофа) и несоздавшего реальную угрозу наступления таких последствий. К подобнымнарушениям, в частности, относятся;3
Какая из перечисленных мер не является мерой индивидуальной ответственности? (п. 8.1);Штраф;3
Подлежит ли работник внеочередной проверке знаний в случае изъятия из удостоверения двух талонов предупреждения? (п. 8.3);Да;2
Имеет ли право работник, у которого изъяты из удостоверения два талона одновременно, допускаться к работам с повышенной опасностью? (п. 8.3);Да, после успешного прохождения внеочередной проверки знаний;3
"На ком лежит ответственность за обучение, проверку знаний в области охраны труда и пожаной безопасности, подготовка и аттестация по промышленной безопасности работников ООО ""Газпром трансгаз Югорск"" (п.5.2)";Ответы 3 и 4;5
Какие категории работников подлежат проверке знаний в области охраны труда и пожарной безопасности? (п.5.3.);Все категории работников;4
Как часто должны проходить обучение и проверку знаний по пожарно-техническому минимуму офисные и административные работники? (п.5.14);1 раз в 3 года;4
Как часто должны проходить обучение и проверку знаний по пожарно-техническому минимуму работники взрывопожароопасных производств? (п.5.14);1 раз в год;3
Какие категории работников должны ежегодно проходить обучение и проверку знаний по пожарно-техническому минимуму с отрывом от производства? (п.5.15);Работники, выполняющие газоэлектросварочные и другие огневые работы;1
Какова минимальная продолжительность обучения оказанию первой доврачебной помощи? (п.6.2);Не менее 4 часов;4
Как часто проводится обучение по оказанию первой доврачебной помощи у руководителей? (п.6.5);Не реже одного раза в три года.;3
К какому виду ответственности привлекается работник, отказавшийся, либо уклонившийся от прохождения обучения и проверки знаний по охране труда и пожарной безопасности? (п.7.4.);Дисциплинарной;2
Кто из нижеперечисленных работников освобожден от проведения вводного инструктажа по охране труда? (п.8.7.1.);Никто из вышеперечисленных;5
Какова минимальная продолжительность вводного инструктажа по охране труда? (п.8.7.9);120 минут;4
Когда проводится первичный инструктаж на рабочем месте? (п.8.9.1);До начала самостоятельной работы;1
Где фиксируется проведение первичного инструктажа работникам подрядных организаций? (п.8.9.8);В Журнале регистрации инструктажа на рабочем месте;3
Какова минимальная продолжительность обучения безопасным методам и приемам выполнения работ? (п.8.11.4);10 часов;3
Кто и в каком объеме проводит проверку теоретических знаний требований охраны труда и практических навыков безопасной работы работников рабочих профессий? (п.8.11.7);Непосредственные руководители работ в объеме знаний требований правил и инструкций по охране труда, а при необходимости в объеме знаний дополнительных специальных требований безопасности и ОТ;3
Кто назначается председателем экзаменационной комиссии? (п.8.13.2);Главный инженер;5
Назовите состав комиссии по проверке знаний требований охраны труда. (п.8.13.2);Председатель, заместитель председателя и члены комиссии;3
Какое минимальное количество человек должно быть в составе экзаменационной комиссии? (п.8.13.4);3 человека;2
Как часто проводится повторный инструктаж по охране труда для работников, занятых на вахтовом методе работы (месяц через месяц)? (п.8.16.1);Не реже 1 раза в 2 месяца;2
Какой вид инструктажа проводится в случае отсутствия работника на момент проведения повторного инструктажа на рабочем месте по причине болезни, после его выхода на работу, если период отсутствия составил менее 30 дней? (8.16.4);Повторный;2
Как часто проводится повторный противопожарный инструктаж? (8.17.1);Не реже 1 раза в 3 месяца;1
Какой инструктаж получают работники в случае отсутствия в период проведения внепланового инструктажа, при выходе на работу? (8.18.4);Внеплановый;3
Какой вид инструктажа проводится при выполнении работ с повышенной опасностью с оформлением наряда-допуска? (8.20.1);Целевой;4
Кем подготавливается приказ об отстранении работника, в случае неудовлетворительной оценки при прохождении очередной/внеочередной проверки знаний по охране труда? (п.8.21.18);Руководителем структурного подразделения;1
В каком документе фиксируется прохождение инструктажей для работников, для которых не предусмотрено ведение ЛКРИ? (8.22.7);В журнале регистрации инструктажа на рабочем месте;2
Какой порядок обучения руководителей, специалистов и служащих администрации и филиалов Общества? (п.9.1);"а) вводный инструктаж;б) вводный противопожарный инструктаж;в) противопожарный инструктаж (первичный, повторный, внеплановый);г) обучение по охране труда;д) обучение пожарно-техническому минимуму по разработанным и утвержденным в установленном порядке специальным программам:- без отрыва от производства, в рамках обучения по охране труда;- с отрывом от производства (руководители, главные специалисты филиалов (начальники филиалов, главные инженеры филиалов, заместители начальников филиалов, начальники служб), лица ответственные за пожарную безопасность и проведение противопожарного инструктажа);е) предаттестационную подготовку в области промышленной безопасности;ж) проверку знаний по охране труда (первичную, очередную, внеочередную);з) проверку знаний в объеме пожарно-технического минимума (первичную, очередную, внеочередную);и) аттестацию в области промышленной безопасности (первичную, периодическую, внеочередную).";2
Требуется ли расследование микротравм в филиале Общества? (п.9.2);Да, внутреннее расследование микротравм («категория Е»),  произошедших с работниками филиалов, осуществляется комиссиями соответствующих филиалов. Внутреннее расследование микротравм,  произошедших с работниками администрации Общества, осуществляется комиссией в составе работников ООТ;3
Кто входит в состав экзаменационной комиссии (ЭК) филиала? (п.9.4.);Указанное в ответах 1 и 2;5
Сколько человек ЭК должны принимать участие в проверке знаний по охране труда и пожарной безопасности? (п.9.5);Не менее трех человек;1
Каким образом сообщается о случаях травм и смертей работников Общества в быту? (п.9.7);О каждом случае травмирования или смерти работника Общества в быту , в т.ч. в нерабочее время,  при следовании на работу или с работы, в течение одного рабочего дня в ООТ предоставляется  копия сообщения о происшествии по форме Приложения А, подписанного руководителем филиала;1
Кто проводит противопожарные инструктажи (первичный, повторный и внеплановый) с руководителем филиала, его заместителями, начальниками служб (групп)? (п.9.8);Начальник службы ВПО или лицо, выполняющее функции по обеспечению пожарной безопасности в филиале;2
С какой периодичностью проходят обучение перед проверкой знаний по охране труда руководители, специалисты и служащие администрации и филиалов Общества? (п.9.9);Не реже одного раза в три года;3
Кем разрабатываются программы обучения и проверки знаний, билеты проверки знаний  руководителей и специалистов? (п.9.9);Указанное в ответах 1 и 2;4
В течении какого времени руководители, специалисты и служащие в течение месяца должны пройти первичную проверку знаний по охране труда? (п.9.10);В течение 1 месяца;2
Когда должны быть ознакомлены лица, проходящие проверку знаний по охране труда,  с графиком и местом проведения экзамена? (п.9.10);Не позднее чем за 15 дней до проверки;3
В какие сроки проводится очередная проверка знаний по охране труда руководителей и специалистов? (п.9.10);Проводится не реже, чем один раз в три года, если иные сроки не предусмотрены действующими нормативными документами;2
В каких  случаях может проводиться внеочередная проверка знаний по охране труда у руководителей и специалистов? (п.9.10);"а) при вводе в действие новых или переработанных нормативно-правовых актов и нормативно-технических документов в области охраны труда и промышленной безопасности;б) при внедрении новых видов оборудования и технологических процессов, требующих дополнительных знаний по охране труда;в) по требованию органов государственного надзора и контроля, вышестоящих организаций;г) при нарушении руководителями, специалистами или подчиненными им работниками требований по охране труда, промышленной и пожарной безопасности, которые привели или могли привести к наступлению тяжких последствий (несчастный случай на производстве, авария, пожар и т.д.);д) при перерыве в работе более одного года";2
Как оформляются результаты проверки знаний по охране труда руководителей и специалистов? (п.9.10);Оформляются протоколами;1
Что из перечисленного не включается в раздел «Требования охраны труда по окончании работ»? (п.9.11);Условия, запрещающие эксплуатацию или другие действия с данной моделью оборудования, инструмента и приспособлений;4
Кто проходит предаттестационную подготовку в области промышленной безопасности? (п.9.14);Руководители и специалисты структурных подразделений администрации и филиалов Общества, осуществляющих эксплуатацию и управление эксплуатацией опасных производственных объектов (ОПО) Общества;2
В какие сроки проводится периодическая аттестация в области промышленной безопасности? (п.9.15);Проводится не реже, чем один раз в пять лет, если иные сроки не предусмотрены действующими нормативными документами;1
В каких  случаях назначается внеочередная аттестация в области промышленной безопасности? (п.9.15);Указанное в ответах 1 и 2;5
В каких случаях допускается использование систем дистанционного обучения и электронных тестирующих систем (СДО)? (п.10.1);"а) обучения по охране труда и пожарной безопасности;б) предаттестационной подготовки в области промышленной безопасности;в) очередной и внеочередной проверки знаний по охране труда;г) первичной, очередной и внеочередной проверки знаний по пожарной безопасности;д) первичной, периодической и внеочередной аттестации по промышленной безопасности";1
Что устанавливает область применения СТО 00154223-47-2019? (п.1.1);Стандарт устанавливает требования к разработке, построению, изложению, оформлению, обозначению, утверждению и введению в действие, обеспечению пользователей, проверке, пересмотру, учету, хранению, отмене и изъятию инструкций по охране труда и инструкций о мерах пожарной безопасности (далее - инструкции), а также эксплуатационной и другой документации, в которой предусматриваются требования охраны труда, промышленной и пожарной безопасности на объектах Общества;1
Что относится к внешним нормативным документам? (п.3.2);Документы, созданные за пределами Общества и устанавливающие правила, и требования к принципам, методам, характеристикам, результатам осуществления деятельности, выполнения работ, оказания услуг, а также к ресурсам, их обеспечивающим и возникающим в результате их осуществления;1
Что из перечисленного относится к эксплуатационной документации? (п.3.13);К эксплуатационной документации относятся паспорт (формуляр), техническое описание, руководство (инструкция) по эксплуатации (монтажу) оборудования, инструментов, приспособлений, предохранительных устройств, поставляемые в комплекте с ними организацией-изготовителем, либо разработанные соответствующими службами дочернего Общества;2
Какие внутренние нормативные документы применяются в целях обеспечения функционирования ЕСУПБ, а также обеспечения необходимого порядка выполнения работниками возложенных на них обязанностей? (п.5.1.1.);"Должностные и производственные инструкции; типовые инструкции по охране труда Общества; типовые инструкции о мерах пожарной безопасности Общества; инструкции по охране труда по профессиям и видам работ; инструкции о мерах пожарной безопасности; эксплуатационная документация";1
В какой срок формируется и актуализируется перечень типовых инструкций по охране труда и о мерах пожарной безопасности отделами Общества?  (п.5.2.3.,п.5.2.4.);В срок до 15 декабря текущего года;2
На чем основано формирование перечня инструкций по охране труда в филиале? (п.5.2.5);Основано на перечне типовых инструкций по охране труда, типового перечня профессий и видов работ в Обществе, с учетом утвержденного в филиале штатного расписания и осуществляемых производственных процессов, видов деятельности;2
Кто вносит изменения в перечень инструкций филиала при введении новых или отмене инструкций, а также внесении дополнений и (или) изменений в действующие инструкции по охране труда? (п.5.2.6);Ответственный за ведение и хранение документов ЕСУПБ филиала Общества;2
В какой срок формируется и актуализируется перечень инструкций по охране труда подразделением по ОТ и ПБ филиала? (п.5.2.7);В срок не позднее 15 января текущего года;2
На кого могут быть возложены обязанности по формированию и актуализации перечня инструкций о мерах пожарной безопасности в филиале Общества? (п.5.2.8);На подразделение ведомственной пожарной охраны или на работника, выполняющего функции по обеспечению пожарной безопасности в филиале;2
Какие требования должна устанавливать эксплуатационная документация? (п.5.3.2);Эксплуатационная документация должна устанавливать требования (правила), которые исключали бы создание опасных (в том числе пожаровзрывоопасных) ситуаций при монтаже, демонтаже, вводе в эксплуатацию и выводе из эксплуатации производственного оборудования, а также содержать требования, определяющие необходимость использования не входящих в конструкцию средств и методов защиты работающего;3
Какай срок установлен для актуализации перечня оборудования и эксплуатационной документации в структурном подразделении филиала? (п.5.3.3);Не реже 1 раза в 3 года, а также по мере ввода в эксплуатацию/вывода из эксплуатации оборудования;3
Что может содержать эксплуатационная инструкция, разработанная и утвержденная на основе эксплуатационной документации производителя оборудования? (п.5.3.5);Все вышеперечисленное;4
В какой срок должны быть актуализированы эксплуатационные инструкции, разработанные в филиале Общества? (п.5.3.8);В срок не реже 1 раза в 5 лет, если иное не предусмотрено действующими нормативными документами;3
В соответствии с каким СТО разрабатываются должностные инструкции, определяющие обязанности лиц, назначенных приказом по филиалу в качестве ответственных за выполнение функций, предусмотренных нормативными документами в области промышленной безопасности?  (п.5.4.5);В соответствии с СТО 00154223-112;1
Кем утверждается типовой перечень профессий и видов работ по охране труда Общества? (п.6.4);Главным инженером - первым заместителем генерального директора Общества;2
Какая статья ТК Российской Федерации регламентирует требования к разработкам инструкций по охране труда, исходя из профессии или вида выполняемой работы? (п.7.1.);Статья 212 ТК РФ;2
Допускается ли применение единой инструкции по охране труда по видам работ в однотипных структурных подразделениях (рабочих местах) филиала? (п.7.6);Допускается при условии учета мнения (согласования) руководителей данных подразделений при разработке инструкции;3
Что относится к подготовительным работам, предшествующим разработке инструкций по охране труда? (п.7.7);Все вышеперечисленное;4
Допускается ли разработка временных инструкций по охране труда для вводимых в действие новых и реконструированных производств, объектов, процессов? (п.7.10);Допускается на срок до приемки таких производств, объектов, процессов в эксплуатацию;3
Какие разделы должны быть включены в инструкцию по охране труда? (п.7.9);"Общие требования охраны труда; требования охраны труда перед началом работы; требования охраны труда во время работы; требования охраны труда в аварийных ситуациях; требования охраны труда по окончании работы, а также другие разделы при необходимости";3
Что учитывается при разработке инструкции по охране труда по профессии в подразделе «общие положения»? (п.8.5.2);"Требования охраны труда по допуску к работе по соответствующей; обязанности работника, по охране труда согласно требованиям ЕСУПБ; меры ответственности работника за нарушения требований ОТПиПБ; перечень спецодежды, спецобуви и других средств индивидуальной выдаваемые работнику; порядок применения защитных средств, инструмента, приспособлений; указания о необходимости соблюдения правил внутреннего трудового распорядка, а также режимов труда и отдыха в объеме, обязательном для рабочего данной профессии;  требования по соблюдению мер личной гигиены и санитарной безопасности; нормы поведения при переездах к месту работы и обратно, передвижениях во время работы, в том числе на автотранспорте";2
Что из перечисленного не включается в раздел «Требования охраны труда по окончании работ»? (п.9.11);Условия, запрещающие эксплуатацию или другие действия с данной моделью оборудования, инструмента и приспособлений;4
Какие критерии применяются к разработке инструкций о мерах пожарной безопасности? (п.11.1);Оба варианта верны;3
Что из нижеперечисленного не относится к вопросам отражающихся в инструкциях о мерах пожарной безопасности? (п.12.2);Порядок извещения руководителя работ о недостатках, влияющих на безопасность труда, обнаруженных во время работы;2
Кем подписывается проект инструкции? (п.15.1);Разработчиком и исполнителем;3
В какой срок руководитель или специалист, получив инструкцию на согласование, организует ее рассмотрение? (п.15.5);В трехдневный срок;2
Какой срок установлен для проверки и пересмотра инструкций в связи с окончанием срока действия? (п.16.1);Не реже одного раза в 5 лет;1
Что из нижеперечисленного не относится к показателям для досрочного пересмотра инструкций по охране труда? (п.16.7);Изменение класса функциональной пожарной опасности здания (помещения);4
Кто осуществляет контроль изъятия отменённых инструкций? (п.20.5);Члены постоянно действующих комиссий при проведении административно- производственного контроля III-IV уровней;2
Что является несчастным случаем на производстве? (п. 3.5.);Событие, происшедшее с работником и (или) другими лицами, участвующими в производственной деятельности работодателя, при исполнении ими трудовых обязанностей или выполнении какой-либо работы по поручению работодателя (его представителя), а также при осуществлении иных правомерных действий, обусловленных трудовыми отношениями с работодателем либо совершаемых в его интересах,   в результате которых пострадавшим (ими) были получены повреждения здоровья, обусловленные воздействием внешних факторов, повлекшие за собой необходимость перевода его (их) на другую работу, временную или стойкую утрату им (ими) трудоспособности либо смерть;1
"Какие происшествия относятся к ""категории А""? (п.3.14)";"Несчастный случай, произошедший  с работником Общества в процессе производственной деятельности или осуществлении им любых правомерных действий, обусловленных трудовыми отношениями с Обществом (в том числе к несчастному случаю на производстве), а также с другим лицом, находящимся на территории (объектах) Общества  (в случаях, предусмотренных нормами законодательства и положениями настоящего стандарта); случай исчезновения работником Общества в указанных выше условиях";3
"Какие происшествия относятся к ""категории Б""? (п.3.15)";Авария и (или) инцидент на опасном производственном объекте Общества, в том числе случай отказа технических устройств, заключающийся в нарушении работоспособного состояния объекта;5
"Какие происшествия относятся к ""категории В""? (п.3.16)";Случай острого профессионального заболевания (отравления);2
"Какие происшествия относятся к ""категории Г""? (п.3.17)";Пожар и возгорание на объектах Общества;4
"Какие происшествия относятся к ""категории Д""? (п.3.18)";Транспортное происшествие;3
"Какие происшествия относятся к ""категории Е""? (п.3.19)";Случай получения работником микротравмы на производстве;1
Какие из указанных событий, повлекшие за собой необходимость перевода пострадавших на другую работу, временную или стойкую утрату ими трудоспособности либо их смерть, подлежат расследованию в соответствии с СТО 00154223-118 «Порядок регистрации и расследования происшествий в ООО «Газпром трансгаз Югорск» (п.6.2.);Правильно п.1,2,3,4;5
Для каких происшествий  требуется проведение расследования в соответствии с СТО 00154223-118 «Порядок регистрации и расследования происшествий в ООО «Газпром трансгаз Югорск» ? (п.6.3.);Правильно п.1,2,3;4
В течение какого времени работник Общества должен известить о каждом происшествии категории А-Д или ухудшении здоровья любого лица, находящегося на территории Общества, непостредственному руководителю или иному вышестоящему руководителю? (п.6.1);Незамедлительно;1
Какие действия должен незамедлительно организовать непосредственный руководитель работ, руководитель структурного подразделения, начальник смены либо иной вышестоящий руководитель,получив информацию о происшествии? (п.6.6.);Правильно п.1,2,4;5
Какие действия должен незамедлительно организовать непосредственный руководитель работ, руководитель структурного подразделения, начальник смены либо иной вышестоящий руководитель,получив информацию о происшествии? (п.6.6.);Сообщение о происшествии в диспетчерскую службу;2
В течение какого срока с момента происшествия в Обществе формируется комиссия по его расследованию? (п.7.1.);В течение суток;2
Каким образом расследуется происшествие с работником подрядной организации при выполнении работ или оказании услуг Обществу в соответствии с договором? (п.7.7.);Расследуется комиссией, образованной данной организацией, при этом в состав комиссии включается представитель Общества (филиала Общества) – по территории (объекту), являющейся местом происшествия;3
Кто может включаться в состав комиссии по расследованию происшествий? (п.7.2. - 7.3.);Правильно п.1,2;4
Может ли принимать участие в расследовании происшествия с работником сторонней оганизации представитель его работодателя ? (п.7.2. - 7.3.);Да;1
Каким образом пострадавший или его представитель может участвовать в расследовании происшествия ? (п.7.9.);"Вправе лично участвовать в расследовании, в том числе принимать участие в опросе очевидцев происшествия; должностных лиц, а также лиц, допустивших нарушение требований охраны труда; присутствовать при осмотре, фото- и (или) видеосъемке места происшествия; знакомиться с материалами расследования";2
